Word,Frequency,Abc Hash,Qwerty Hash,As name
advocate,4,12751172,44837421,0,0.0
aegis,5,12336,41534,0,0.0
aeneid,2,125232,418134,0,0.0
aerial,15,126314,412346,0,0.0
aerials,2,1263146,4123464,0,0.0
aerobics,2,12651316,41238374,0,0.0
aerodynamic,2,12652851531,41234284837,0,0.0
aeroplanes,2,1265641526,4123364814,0,0.0
aerosol,5,1265654,4123436,0,0.0
aertex,2,126728,412217,2,1.0
aesthetic,22,126732731,414251237,0,0.0
aesthetically,3,1267327311448,4142512374662,0,0.0
aesthetics,10,1267327316,4142512374,0,0.0
afar,6,1216,4542,0,0.0
afascinating,2,121613517353,454473842385,0,0.0
aff,2,122,455,0,0.0
affability,3,1221134378,4554836322,0,0.0
affable,10,1221142,4554861,0,0.0
affably,21,1221148,4554862,0,0.0
affair,208,122136,455432,3,0.014423076923076924
affaire,3,1221362,4554321,0,0.0
affairs,201,1221366,4554324,61,0.3034825870646766
affect,55,122217,455172,0,0.0
affectation,6,12221717355,45517242338,0,0.0
affected,68,12221722,45517214,0,0.0
affecting,12,122217353,455172385,0,0.0
affection,51,122217355,455172338,0,0.0
affectionate,22,122217355172,455172338421,0,0.0
affectionately,11,12221735517248,45517233842162,0,0.0
affections,7,1222173556,4551723384,0,0.0
affects,10,1222176,4551724,0,0.0
affectthem,2,1222177325,4551722518,0,0.0
affianced,3,122315122,455348714,0,0.0
affidavits,2,1223217376,4553448324,0,0.0
affiliation,3,12234317355,45536342338,0,0.0
affinity,29,12235378,45538322,0,0.0
affirm,7,122365,455328,0,0.0
affirmation,4,12236517355,45532842338,0,0.0
affirmative,2,12236517372,45532842381,1,0.5
affirmed,4,12236522,45532814,0,0.0
affirming,2,122365353,455328385,0,0.0
affix,4,12238,45537,0,0.0
affixed,11,1223822,4553714,0,0.0
affixing,2,12238353,45537385,0,0.0
afflicted,12,122431722,455637214,0,0.0
affliction,9,1224317355,4556372338,0,0.0
afflictions,2,12243173556,45563723384,2,1.0
affluence,2,122472512,455621871,0,0.0
affluent,2,12247257,45562182,0,0.0
afford,170,122562,455324,0,0.0
afforded,19,12256222,45532414,0,0.0
affording,5,122562353,455324385,0,0.0
affray,2,122618,455242,0,0.0
affront,3,1226557,4552382,0,0.0
affronted,17,122655722,455238214,0,0.0
afghan,9,123315,455548,8,0.8888888888888888
afghanistan,34,12331536715,45554834248,34,1.0
afiectionately,2,12321735517248,45317233842162,0,0.0
afield,6,123242,453164,0,0.0
afire,10,12362,45321,0,0.0
afirebolt,4,123621547,453218362,0,0.0
afloat,5,124517,456342,0,0.0
aflop,2,12456,45633,0,0.0
afoot,15,12557,45332,0,0.0
afoul,7,12574,45326,0,0.0
afraid,1060,126132,452434,4,0.0037735849056603774
afraidhe,2,12613232,45243451,0,0.0
afresh,8,126263,452145,0,0.0
africa,32,126311,452374,31,0.96875
african,50,1263115,4523748,50,1.0
afro,3,1265,4523,3,1.0
aft,9,127,452,0,0.0
after,7217,12726,45212,65,0.009006512401274768
aftereffect,3,12726222217,45212155172,0,0.0
aftereffects,10,127262222176,452121551724,0,0.0
afterglow,3,127263458,452125631,0,0.0
afterimage,2,1272635132,4521238451,0,0.0
afterimages,6,12726351326,45212384514,0,0.0
aftermath,37,127265173,452128425,0,0.0
aftermaths,7,1272651736,4521284254,0,0.0
afternoon,739,127265555,452128338,0,0.0
afternoons,18,1272655556,4521283384,0,0.0
afters,2,127266,452124,0,0.0
aftershave,2,1272663172,4521245481,0,0.0
aftershock,2,1272663514,4521245376,0,0.0
aftertaste,3,1272671672,4521224421,0,0.0
afterthat,4,127267317,452122542,0,0.0
afterthought,36,127267357337,452122532552,0,0.0
afterthoughts,2,1272673573376,4521225325524,0,0.0
afterumbridge,2,1272675163232,4521228823451,0,0.0
afterward,71,127268162,452121424,0,0.0
afterwards,239,1272681626,4521214244,0,0.0
afterword,2,127268562,452121324,1,0.5
afteryou,2,12726857,45212232,0,0.0
ag,8,13,45,0,0.0
again,7946,13135,45438,13,0.0016360432922225018
against,2810,1313567,4543842,221,0.07864768683274022
againstthe,3,1313567732,4543842251,0,0.0
agamemnon,2,131525555,454818838,2,1.0
agapanthus,2,1316157376,4543482524,0,0.0
agape,7,13162,45431,0,0.0
agatha,4,131731,454254,4,1.0
agba,8,1311,4584,2,0.25
age,673,132,451,18,0.02674591381872214
aged,185,1322,4514,1,0.005405405405405406
agencies,6,13251326,45187314,0,0.0
agency,57,132518,451872,6,0.10526315789473684
agenda,39,132521,451844,0,0.0
agendas,5,1325216,4518444,0,0.0
agent,285,13257,45182,6,0.021052631578947368
agents,105,132576,451824,1,0.009523809523809525
ages,165,1326,4514,23,0.1393939393939394
aggrandizement,3,13361523825257,45524843718182,0,0.0
aggravate,3,133617172,455248421,0,0.0
aggravated,17,1336171722,4552484214,0,0.0
aggravating,10,13361717353,45524842385,0,0.0
aggravation,19,13361717355,45524842338,0,0.0
aggregate,3,133623172,455215421,0,0.0
aggregated,2,1336231722,4552154214,0,0.0
aggression,23,1336266355,4552144338,0,0.0
aggressive,70,1336266372,4552144381,0,0.0
aggressively,45,133626637248,455214438162,0,0.0
aggressors,2,1336266566,4552144324,0,0.0
aggrieved,16,133632722,455231814,0,0.0
agh,15,133,455,0,0.0
aghast,36,133167,455442,0,0.0
agile,4,13342,45361,0,0.0
agility,16,1334378,4536322,0,0.0
aging,51,13353,45385,3,0.058823529411764705
agirls,2,133646,453264,0,0.0
agis,2,1336,4534,0,0.0
agitate,4,1337172,4532421,0,0.0
agitated,75,13371722,45324214,0,0.0
agitatedly,2,1337172248,4532421462,0,0.0
agitating,3,133717353,453242385,0,0.0
agitation,56,133717355,453242338,0,0.0
aglow,5,13458,45631,0,0.0
agnes,4,13526,45814,2,0.5
agnostic,4,13556731,45834237,0,0.0
ago,1471,135,453,0,0.0
agog,7,1353,4535,0,0.0
agonies,9,1355326,4538314,0,0.0
agonising,2,135536353,453834385,0,0.0
agonized,22,13553822,45383714,0,0.0
agonizing,23,135538353,453837385,0,0.0
